@relation test-weka.filters.unsupervised.attribute.Add-TNOM-Ntype-L-Clast-W1.0

@attribute id numeric
@attribute bone_length numeric
@attribute rotting_flesh numeric
@attribute hair_length numeric
@attribute has_soul numeric
@attribute color {black,white,blue,clear,green,blood}
@attribute type {}

@data
65,0.54974,0.517907,0.814569,0.679884,clear,?
66,0.391429,0.581445,0.583059,0.29502,black,?
67,0.508964,0.437965,0.540077,0.538394,black,?
68,0.55364,0.696664,0.1092,0.395083,white,?
74,0.463106,0.351052,0.527842,0.708689,white,?
76,0.351337,0.398427,0.482935,0.316566,clear,?
77,0.411468,0.490134,0.607132,0.691714,white,?
78,0.460787,0.29113,0.576851,0.585932,white,?
81,0.373238,0.372772,0.549904,0.669994,white,?
83,0.265151,0.235266,0.341956,0.360005,clear,?
87,0.528936,0.573091,0.630125,0.525968,white,?
92,0.447461,0.539658,0.785749,0.63341,white,?
97,0.310761,0.456884,0.791907,0.770275,clear,?
98,0.488126,0.577013,0.801497,0.512113,white,?
99,0.43489,0.443396,0.460565,0.346674,clear,?
100,0.421852,0.442847,0.587545,0.551073,clear,?
101,0.484668,0.749136,0.576079,0.612089,clear,?
102,0.327129,0.626746,0.226199,0.122589,white,?
104,0.364667,0.405479,0.610799,0.410464,clear,?
105,0.268448,0.031918,0.605018,0.325475,white,?
106,0.294892,0.699814,0.303543,0.385164,clear,?
108,0.469048,0.22108,0.516028,0.321055,black,?
110,0.311066,0.51446,0.611384,0.661742,green,?
112,0.560017,0.540298,0.655632,0.850296,white,?
114,0.498108,0.67426,0.447134,0.143965,white,?
116,0.600842,0.573894,0.67399,0.392516,green,?
117,0.519733,0.575627,0.612538,0.770699,blue,?
120,0.3516,0.388561,0.435821,0.167872,clear,?
121,0.520722,0.223495,0.442071,0.476939,white,?
122,0.567854,0.191001,0.632085,0.68325,green,?
123,0.571524,0.645111,0.535955,0.589391,green,?
124,0.398955,0.49697,0.766046,0.763243,white,?
126,0.223047,0.591644,0.678433,0.736313,clear,?
127,0.560425,0.611116,0.432751,0.436094,white,?
132,0.583188,0.502961,0.703142,0.412672,black,?
134,0.566766,0.452165,0.279379,0.424261,clear,?
135,0.427457,0.731727,0.423594,0.558498,green,?
136,0.587979,0.680684,0.59768,0.544019,black,?
137,0.707677,0.557029,0.546831,0.633339,clear,?
138,0.513344,0.446748,0.527729,0.537188,clear,?
139,0.613047,0.545648,0.586891,0.589143,white,?
140,0.400354,0.297331,0.671575,0.655282,clear,?
144,0.52515,0.201332,0.635104,0.54499,clear,?
145,0.304952,0.473178,0.455261,0.241602,clear,?
146,0.437953,0.269772,0.448874,0.408886,black,?
147,0.254992,0.485497,0.360132,0.316975,green,?
148,0.486938,0,0.592129,0.459778,white,?
149,0.511695,0.517307,0.647281,0.59574,white,?
150,0.407437,0.416578,0.7519,0.497701,clear,?
151,0.402341,0.565569,0.420024,0.380921,black,?
152,0.38539,0.531998,0.159234,0.254646,clear,?
153,0,0.288135,0.450938,0.200262,white,?
154,0.437968,0.303005,0.384836,0.49316,white,?
156,0.167285,0.773743,0.446884,0.341383,clear,?
158,0.339817,0.520242,0.381646,0.258601,black,?
160,0.209727,0.529558,0.232033,0.084019,black,?
164,0.520073,0.752373,0.443154,0.191973,white,?
166,0.426344,0.430607,0.62531,0.485952,green,?
167,0.39489,0.431482,0.57295,0.256326,green,?
169,0.179144,0.570612,0.30444,0.43846,clear,?
171,0.384521,0.609096,0.349461,0.438774,clear,?
173,0.342968,0.479735,0.547003,0.311471,black,?
178,0.503922,0.41685,0.34588,0.390676,black,?
179,0.54888,0.214127,0.671848,0.479111,clear,?
181,0.327682,0.38747,0.433891,0.365125,clear,?
182,0.591985,0.388048,0.652956,0.386226,white,?
183,0.444679,0.45582,0.580292,0.437139,clear,?
184,0.374478,0.425543,0.670463,0.589184,clear,?
187,0.33572,0.538115,0.403768,0.448585,white,?
188,1,0.78866,0.777894,0.599683,white,?
190,0.634162,0.276113,0.515686,0.647484,clear,?
191,0.50691,0.410512,0.632359,0.551782,clear,?
196,0.432463,0.540776,0.52096,0.323059,clear,?
198,0.550209,0.582401,0.699767,0.544584,clear,?
200,0.625276,0.524363,0.628299,0.507875,white,?
201,0.333743,0.382061,0.447425,0.235416,white,?
202,0.46706,0.386474,0.314548,0.431275,clear,?
203,0.177085,0.402815,0.482846,0.428089,black,?
207,0.33623,0.543401,0.605363,0.536183,black,?
209,0.542594,0.47713,0.695482,0.50835,white,?
210,0.324238,0.455405,0.412305,0.35969,clear,?
211,0.659087,0.3908,0.374995,0.311435,blue,?
212,0.422422,0.226852,0.649075,0.560046,white,?
213,0.539932,0.462619,0.52022,0.864529,blue,?
214,0.511271,0.646853,0.365233,0.336098,clear,?
217,0.451836,0.525546,0.525394,0.568889,clear,?
220,0.137404,0.399497,0.519286,0.296962,white,?
221,0.237613,0.487854,0.377436,0.258491,green,?
223,0.299734,0.43693,0.69646,0.611278,white,?
225,0.553314,0.319948,0.744931,0.741776,white,?
228,0.540737,0.752015,0.263356,0.326583,clear,?
231,0.437458,0.624588,0.308872,0.285052,blue,?
232,0.243511,0.874591,0.507839,0.355506,white,?
234,0.764869,0.795791,0.821644,0.519186,clear,?
235,0.409617,0.416597,0.448219,0.809783,green,?
236,0.29892,0.46674,0.323491,0.24553,white,?
238,0.312231,0.446401,0.588407,0.503097,white,?
239,0.373631,0.359738,0.66948,0.521501,clear,?
240,0.497079,0.419409,0.664826,0.851936,blue,?
241,0.401824,0.504707,0.468991,0.374532,black,?
242,0.396032,0.5019,0.578654,0.584448,white,?
243,0.5115,0.326036,0.930376,0.700936,white,?
244,0.376864,0.364517,0.599241,0.679876,clear,?
245,0.40617,0.373775,0.448931,0.490226,blue,?
246,0.430039,0.476028,0.311499,0.404179,clear,?
248,0.535189,0.471686,0.627319,1,blue,?
249,0.32363,0.433877,0.369268,0.393842,clear,?
250,0.32049,0.51614,0.442653,0.415758,black,?
251,0.448407,0.471109,0.513631,0.813989,white,?
252,0.593099,0.453462,0.657058,0.498696,clear,?
253,0.32447,0.605255,0.349152,0.335415,white,?
254,0.495903,0.443007,0.695581,0.443271,white,?
255,0.329971,0.362024,0.449953,0.235233,black,?
256,0.382209,0.493693,0,0.224168,white,?
257,0.472597,0.495415,0.323433,0.421531,white,?
259,0.417606,0.396583,0.614187,0.635098,white,?
260,0.680955,0.515169,0.64487,0.480467,blood,?
267,0.421041,0.380861,0.68371,0.530724,white,?
269,0.476888,0.415298,0.449568,0.564672,white,?
270,0.31456,0.197553,0.628885,0.392733,black,?
271,0.249621,0.702624,0.2985,0.45555,clear,?
273,0.561853,0.461379,0.682091,0.759173,white,?
274,0.614421,0.446498,0.723452,0.593492,white,?
275,0.222873,0.673608,0.589518,0.274735,clear,?
276,0.528244,0.829461,0.840838,0.799568,white,?
277,0.483871,0.485819,0.823177,0.779298,clear,?
278,0.384792,0.513576,0.645219,0.693016,white,?
279,0.35687,0.270832,0.788254,0.490262,white,?
280,0.479198,0.264365,0.548164,0.573885,black,?
281,0.292961,0.599598,0.359977,0.14412,white,?
284,0.422278,0.515038,0.190008,0.149417,white,?
288,0.40829,0.540625,0.59539,0.387463,clear,?
289,0.494485,0.78668,0.179006,0.127432,white,?
290,0.34826,0.376082,0.594898,0.436001,white,?
292,0.50562,0.559532,0.331797,0.282282,white,?
295,0.169213,0.554966,0.426589,0.30786,black,?
297,0.545955,0.520827,0.448936,0.7587,white,?
298,0.383629,0.767126,0.174066,0.169433,black,?
303,0.610749,0.486876,0.65507,0.345675,black,?
304,0.516818,0.691286,0.717721,0.536932,white,?
308,0.680601,0.581757,0.805742,0.574298,clear,?
309,0.311603,0.420987,0.349986,0.382385,white,?
310,0.609538,0.426138,0.855667,0.678712,clear,?
311,0.519024,0.184487,0.507959,0.781139,white,?
312,0.574809,0.471162,0.715405,0.419133,black,?
314,0.418487,0.602086,0.33751,0.201642,white,?
316,0.425168,0.837676,0.429453,0.479796,green,?
317,0.529535,0.47834,0.7358,0.561739,green,?
318,0.364372,0.706723,0.208141,0.448284,clear,?
319,0.258071,0.628024,0.201315,0.385737,white,?
320,0.419447,0.457012,0.545493,0.491218,clear,?
322,0.416382,0.520469,0.511898,0.569417,clear,?
326,0.364785,0.399061,0.655516,0.703407,white,?
328,0.518146,0.826424,0.809123,0.39621,white,?
330,0.40588,0.599288,0.240735,0.173806,black,?
331,0.360724,0.816814,0.349397,0.305731,green,?
332,0.416288,0.264775,0.910983,0.594296,white,?
334,0.48277,0.291332,0.351489,0.456055,blue,?
335,0.234959,0.640292,0.333559,0.486138,green,?
337,0.393694,0.810493,0.922677,0.668254,white,?
341,0.323887,0.658995,0.56985,0.543182,white,?
344,0.489893,0.371606,0.604439,0.303674,white,?
345,0.535757,0.3589,0.530624,0.537524,clear,?
347,0.651799,0.587487,0.627889,0.549549,clear,?
348,0.51223,0.408305,0.737061,0.57778,black,?
349,0.281016,0.657648,0.383351,0.233876,white,?
350,0.088259,0.571775,0.414822,0.193375,black,?
352,0.300594,0.369538,0.157902,0.045272,clear,?
353,0.215329,0.431233,0.326579,0.37049,white,?
354,0.445377,0.426201,0.565223,0.647755,white,?
356,0.174506,0.406801,0.15977,0.578969,white,?
357,0.417765,0.459862,0.633852,0.352201,clear,?
360,0.330578,0.339964,0.42839,0.276165,white,?
361,0.394818,0.441318,0.559179,0.432842,white,?
363,0.465829,0.437396,0.760944,0.519113,white,?
364,0.341161,0.386939,0.407374,0.373172,white,?
365,0.44862,0.629834,0.428685,0.464717,white,?
370,0.382901,0.608219,0.422274,0.255759,clear,?
371,0.342312,0.746136,0.15779,0.345188,black,?
372,0.355564,0.256784,0.388189,0.443222,white,?
373,0.398084,0.511494,0.421367,0.470004,clear,?
374,0.551497,0.427258,0.610877,0.549723,white,?
376,0.246074,0.763403,0.166498,0.256578,green,?
377,0.619961,0.58213,0.516186,0.936578,black,?
378,0.427965,0.185771,0.510261,0.455594,white,?
379,0.466477,0.36128,0.639892,0.435406,clear,?
380,0.346651,0.366498,0.603874,0.372042,clear,?
381,0.368214,0.463363,0.351715,0.611689,white,?
382,0.513122,0.344738,0.693488,0.779582,clear,?
383,0.528705,0.451886,0.611051,0.611236,white,?
384,0.24395,0.277657,0.532213,0.499884,white,?
386,0.433835,0.748032,0.2755,0.2424,clear,?
388,0.211272,0.452349,0.210512,0.208109,white,?
391,0.366942,0.327832,0.517489,0.484192,clear,?
392,0.208963,0.536967,0.437955,0.393955,green,?
395,0.218054,0.234497,0.442149,0.415012,white,?
396,0.159552,0.489931,0.668716,0.528776,white,?
398,0.307418,0.569733,0.360542,0.348979,white,?
400,0.211582,0.753799,0.318294,0.308769,black,?
402,0.339071,0.550159,0.283865,0.334349,blood,?
403,0.506946,0.398649,0.625292,0.645939,clear,?
405,0.44387,0.557613,0.479529,0.227306,black,?
406,0.569664,0.510772,0.816131,0.6913,white,?
407,0.307378,0.677268,0.556073,0.668324,clear,?
408,0.511542,0.610142,0.489386,0.526255,clear,?
411,0.321922,0.619795,0.341811,0.322009,white,?
413,0.24169,0.439978,0.258811,0.368489,white,?
414,0.252594,0.763329,0.22049,0.181721,clear,?
415,0.318231,0.742353,0.348944,0.282178,green,?
417,0.401378,0.460009,0.463971,0.466168,white,?
418,0.37933,0.577799,0.539827,0.343287,white,?
420,0.366031,0.323515,0.57394,0.472979,black,?
423,0.388924,0.822392,0.299703,0.033919,clear,?
424,0.252667,0.516651,0.341488,0.38152,white,?
425,0.327406,0.354059,0.562967,0.63891,green,?
426,0.116553,0.618112,0.455855,0.316314,white,?
430,0.287722,0.393016,0.317194,0.375988,white,?
431,0.316718,0.495045,0.381204,0.429764,green,?
432,0.647874,0.894268,0.587815,0.352219,white,?
433,0.521293,0.571036,0.472678,0.56959,white,?
436,0.59405,0.341296,0.603311,0.542914,white,?
437,0.325988,0.650342,0.412519,0.059746,clear,?
438,0.740142,0.351232,0.810209,0.416937,white,?
439,0.552228,0.441918,0.445906,0.291546,white,?
440,0.362016,0.629224,0.467956,0.160721,clear,?
441,0.369643,0.621721,0.558768,0.220552,clear,?
442,0.373628,0.259068,0.567942,0.621856,blue,?
443,0.403832,0.45996,0.186795,0.360938,clear,?
444,0.515741,0.683762,0.601725,0.414363,green,?
445,0.642446,0.392114,0.601487,0.324018,clear,?
446,0.867414,0.66668,0.566671,0.63564,white,?
449,0.525822,0.642954,0.631138,0.54821,clear,?
451,0.508026,0.519298,0.711006,0.451151,clear,?
452,0.487444,0.448842,0.359458,0.366345,black,?
453,0.284123,0.55599,0.511501,0.341077,clear,?
455,0.473887,0.381228,0.583006,0.705038,green,?
456,0.273116,0.397834,0.716995,0.425914,white,?
457,0.438081,0.600903,0.415639,0.453148,clear,?
459,0.338224,0.220355,0.246955,0.494181,green,?
460,0.760581,0.609206,0.733421,0.584549,white,?
461,0.541872,0.387986,0.701607,0.551845,clear,?
463,0.452996,0.337948,0.669924,0.492194,clear,?
468,0.306888,0.568559,0.803659,0.530705,clear,?
469,0.390781,0.103319,0.718426,0.364589,green,?
471,0.366987,0.542451,0.443308,0.374769,clear,?
473,0.300469,0.40149,0.269653,0.233271,clear,?
474,0.235353,0.314716,0.576643,0.377238,white,?
475,0.539403,0.611191,0.816129,0.951796,white,?
477,0.574353,0.397086,0.562028,0.767658,clear,?
478,0.644931,0.60735,0.671958,0.458601,white,?
479,0.302955,0.136113,0.518678,0.795412,green,?
480,0.383901,0.518165,0.29375,0.532302,white,?
483,0.653927,0.486531,0.715815,0.334045,blood,?
484,0.485806,0.593617,0.370333,0.474337,black,?
485,0.508245,0.461355,0.444134,0.037766,white,?
486,0.54625,0.575907,0.682709,0.404226,blue,?
488,0.36394,0.65529,0.280375,0.427795,black,?
489,0.510028,0.189986,0.759981,0.534596,white,?
490,0.403874,0.518939,0.594646,0.64199,clear,?
491,0.507252,0.376725,0.40192,0.448111,green,?
493,0.53621,0.592242,0.594963,0.522605,black,?
496,0.306365,0.544743,0.363461,0.194397,white,?
498,0.521144,0.353383,0.635562,0.406124,clear,?
499,0.461334,0.641973,0.418749,0.204414,blue,?
500,0.442576,0.56414,0.352178,0.755912,white,?
503,0.520146,0.324168,0.773681,0.349584,clear,?
504,0.45851,0.583137,0.213368,0.812038,blue,?
505,0.303367,0.518788,0.272568,0.341273,clear,?
508,0.328945,0.515574,0.561817,0.177879,white,?
512,0.529693,0.693671,0.586797,0.916672,green,?
513,0.47337,0.501949,0.703697,0.396885,clear,?
516,0.359511,0.753601,0.614726,0.5767,clear,?
517,0.550192,0.513143,0.554357,0.32974,green,?
519,0.352531,0.42153,0.331362,0.300636,black,?
521,0.313248,0.664895,0.589944,0.583721,clear,?
522,0.535819,0.467183,0.747206,0.572862,white,?
524,0.611594,0.213059,0.755005,0.448912,white,?
525,0.413959,0.2824,0.551726,0.360301,blue,?
526,0.47561,0.674901,0.235233,0.273524,blue,?
527,0.526535,1,0.207614,0.438302,white,?
529,0.307908,0.517325,0.6735,0.560739,white,?
530,0.309349,0.243294,0.368118,0.350694,black,?
531,0.470068,0.464366,0.225509,0.202223,clear,?
532,0.198109,0.619599,0.334285,0.399332,clear,?
533,0.682664,0.675326,0.530705,0.461795,clear,?
535,0.326442,0.936041,0.352307,0.538078,clear,?
537,0.295403,0.379103,0.358695,0.407235,white,?
538,0.533035,0.439051,0.30917,0.878063,white,?
539,0.212693,0.317629,0.757919,0.508528,black,?
541,0.347783,0.68408,0.274371,0.333323,clear,?
543,0.487182,0.570709,0.622916,0.310936,clear,?
544,0.330319,0.716809,0.399785,0.157598,blue,?
546,0.286692,0.287873,0.398917,0.697015,green,?
548,0.329383,0.75996,0.224894,0.408156,white,?
550,0.740312,0.563828,0.791653,0.554291,white,?
551,0.570999,0.725451,0.738588,0.560465,white,?
554,0.576967,0.413329,0.57449,0.449487,white,?
555,0.429695,0.409581,0.602172,0.478694,white,?
560,0.120432,0.691256,0.43719,0.42076,black,?
562,0.380596,0.561635,0.265919,0.2192,clear,?
563,0.494062,0.68514,0.663956,0.53062,clear,?
566,0.335142,0.365671,0.247194,0.301774,white,?
567,0.493889,0.656501,0.776252,0.629715,clear,?
568,0.331483,0.550737,0.697115,0.577099,clear,?
569,0.501198,0.548368,0.639616,0.774387,black,?
571,0.454004,0.412132,0.737145,0.481925,black,?
572,0.251338,0.358284,0.566776,0.639407,black,?
573,0.454409,0.590007,0.56366,0.598337,clear,?
576,0.506012,0.153566,0.446913,0.512833,green,?
577,0.237091,0.70008,0.557378,0.334995,blue,?
578,0.382955,0.449634,0.463621,0.492615,clear,?
587,0.220618,0.653617,0.417537,0.269299,white,?
588,0.527252,0.320925,0.585426,0.6249,blue,?
591,0.328868,0.666976,0.539232,0.150848,white,?
592,0.479432,0.350883,0.722521,0.491894,green,?
595,0.733391,0.188366,0.502264,0.66312,white,?
596,0.15991,0.529054,0.365202,0.171588,clear,?
597,0.721468,0.432179,0.687356,0.55648,blue,?
599,0.397381,0.765119,0.342714,0.373561,white,?
602,0.495119,0.241558,0.55344,0.632388,white,?
603,0.455803,0.512027,0.659122,0.476889,green,?
605,0.3852,0.479366,0.639753,0.551032,white,?
606,0.202579,0.568108,0.417536,0.057893,clear,?
611,0.379418,0.558448,0.200087,0.327601,green,?
612,0.565614,0.436153,0.506844,0.865893,clear,?
613,0.28241,0.318677,0.460365,0.540802,blue,?
615,0.191327,0.759329,0.293995,0.496703,clear,?
618,0.356359,0.510065,0.511519,0.38305,white,?
619,0.288954,0.60412,0.358754,0,clear,?
620,0.347225,0.385952,0.320554,0.338441,white,?
622,0.714433,0.575591,0.500114,0.506488,blue,?
623,0.480217,0.694797,0.717046,0.623958,clear,?
624,0.42221,0.595284,0.575215,0.609999,white,?
626,0.242967,0.257396,0.709596,0.394209,white,?
628,0.415816,0.623854,0.75304,0.754911,white,?
629,0.346931,0.487287,0.425126,0.344428,white,?
633,0.4549,0.686854,0.417466,0.312605,white,?
634,0.505424,0.489092,0.749391,0.734715,green,?
635,0.231276,0.831366,0.338608,0.260806,clear,?
636,0.469736,0.428756,0.396759,0.436539,clear,?
638,0.268493,0.489553,0.322591,0.349044,white,?
639,0.493767,0.564514,0.649126,0.587196,clear,?
640,0.513595,0.418915,0.40645,0.347153,clear,?
642,0.359528,0.252809,0.601232,0.18995,blue,?
643,0.494888,0.576151,0.813503,0.471386,black,?
644,0.50686,0.56898,0.60032,0.512243,white,?
645,0.396121,0.575537,0.360466,0.261637,green,?
646,0.40838,0.663443,0.444946,0.27945,white,?
648,0.415517,0.4031,0.504941,0.261424,clear,?
649,0.384744,0.38548,0.433798,0.448626,clear,?
650,0.577406,0.722107,0.371622,0.158094,white,?
652,0.153975,0.488644,0.380827,0.330385,clear,?
655,0.199661,0.5936,0.160231,0.521495,white,?
656,0.303166,0.318487,0.245628,0.526572,white,?
657,0.51317,0.526169,0.466202,0.295933,blue,?
658,0.414075,0.202588,0.634457,0.719787,clear,?
659,0.329579,0.614716,0.785882,0.529002,clear,?
660,0.123818,0.632458,0.395161,0.171397,white,?
665,0.405003,0.327196,0.424241,0.247624,clear,?
666,0.462191,0.681359,0.404564,0.530212,clear,?
668,0.545055,0.296818,0.709077,0.540862,clear,?
670,0.792842,0.721439,0.705682,0.500285,black,?
671,0.31638,0.405104,0.487168,0.509077,white,?
672,0.325088,0.594333,0.516721,0.426278,clear,?
673,0.310812,0.509812,0.876084,0.480475,green,?
675,0.413727,0.393987,0.420037,0.445082,blood,?
681,0.665882,0.7621,0.630189,0.922492,clear,?
683,0.32954,0.502089,0.54296,0.512683,blood,?
687,0.670228,0.308291,0.806822,0.740763,clear,?
689,0.379119,0.664332,0.411663,0.172889,green,?
691,0.600965,0.496452,0.60987,0.686237,blood,?
692,0.612483,0.271045,0.739471,0.799415,white,?
694,0.382431,0.638585,0.324805,0.380269,clear,?
697,0.373753,0.541254,0.647968,0.500232,clear,?
702,0.425872,0.767516,0.420158,0.266616,white,?
703,0.376015,0.511564,0.612527,0.141875,white,?
704,0.575582,0.489251,0.432652,0.343666,black,?
706,0.576498,0.534683,0.694142,0.590405,white,?
707,0.121522,0.241625,0.23514,0.356889,clear,?
710,0.567704,0.602385,0.631264,0.566549,white,?
711,0.254929,0.614931,0.271453,0.326031,white,?
712,0.326808,0.326603,0.55719,0.567043,green,?
713,0.588928,0.572976,0.606395,0.590806,green,?
717,0.534404,0.374796,0.461011,0.631656,clear,?
718,0.222403,0.64444,0.523755,0.295859,clear,?
720,0.346471,0.632223,0.436411,0.279055,white,?
723,0.562173,0.711107,0.602134,0.542586,white,?
724,0.542261,0.494587,0.664514,0.58213,white,?
725,0.512811,0.292226,0.362108,0.662926,white,?
726,0.280496,0.591369,0.225822,0.273413,white,?
730,0.312235,0.766594,0.316039,0.336375,clear,?
735,0.428617,0.605957,0.504935,0.583252,white,?
738,0.549692,0.560011,0.44975,0.446486,white,?
740,0.445706,0.666865,0.642461,0.753157,white,?
742,0.356341,0.714119,0.314751,0.213874,black,?
744,0.396464,0.289438,0.416876,0.632224,blood,?
748,0.536617,0.570873,0.332147,0.625819,black,?
749,0.446405,0.384762,0.690516,0.407976,white,?
752,0.444184,0.376964,0.844967,0.291786,black,?
755,0.253787,0.244979,0.493914,0.435952,clear,?
757,0.329258,0.638848,0.731818,0.553874,green,?
758,0.361539,0.427639,0.452909,0.534069,white,?
759,0.159418,0.820873,0.428622,0.079451,white,?
760,0.595365,0.428088,0.612251,0.326594,clear,?
762,0.415794,0.946247,0.428107,0.354386,white,?
763,0.586365,0.542928,0.526004,0.698892,black,?
764,0.682736,0.583041,0.525001,0.408651,clear,?
765,0.240886,0.632646,0.371764,0.019438,black,?
767,0.209141,0.356896,0.465391,0.221394,green,?
768,0.352982,0.780452,0.32355,0.408543,blue,?
769,0.500951,0.475612,0.515052,0.586234,clear,?
770,0.546889,0.461131,0.356369,0.271234,blue,?
771,0.388999,0.421569,0.461751,0.639099,green,?
773,0.544049,0.390322,0.457519,0.483816,green,?
774,0.599668,0.376693,0.798147,0.285447,white,?
776,0.742231,0.222162,0.999841,0.701241,clear,?
778,0.534481,0.590123,0.667148,0.662742,clear,?
780,0.368512,0.524753,0.65205,0.604815,green,?
781,0.493944,0.454503,0.501896,0.596431,clear,?
782,0.473099,0.234937,0.378878,0.575423,white,?
783,0.24809,0.375533,0.319159,0.521523,clear,?
784,0.44181,0.188242,0.549201,0.590609,clear,?
787,0.37752,0.5908,0.558159,0.247282,white,?
788,0.408871,0.62265,0.738363,0.602784,white,?
789,0.43239,0.405443,0.636543,0.497544,green,?
790,0.301481,0.574541,0.38275,0.345191,clear,?
791,0.269575,0.521505,0.158575,0.398494,white,?
794,0.310562,0.741329,0.785861,0.625856,white,?
795,0.547855,0.687612,0.681517,0.678971,white,?
796,0.237798,0.421535,0.501042,0.476861,white,?
798,0.479865,0.606115,0.436759,0.747449,clear,?
799,0.280977,0.235768,0.27475,0.147311,white,?
800,0.603305,0.607237,0.516253,0.664047,clear,?
803,0.452132,0.581681,0.512414,0.642483,white,?
805,0.369353,0.574481,0.408533,0.213882,clear,?
806,0.47576,0.475515,0.75225,0.813256,clear,?
807,0.578544,0.587767,0.393612,0.790585,black,?
808,0.418144,0.466224,0.446283,0.612587,clear,?
810,0.421989,0.608938,0.751774,0.607531,green,?
811,0.507116,0.577856,0.32172,0.36955,blue,?
815,0.282077,0.655338,0.385502,0.369852,green,?
816,0.317346,0.522875,0.501857,0.587676,clear,?
818,0.225377,0.592367,0.269932,0.273528,blue,?
821,0.104262,0.712108,0.420788,0.287588,blood,?
822,0.419704,0.348152,0.510084,0.377297,white,?
823,0.406523,0.485848,0.607623,0.693312,clear,?
824,0.454765,0.609248,0.671934,0.475052,green,?
825,0.395463,0.529227,0.225962,0.260161,clear,?
826,0.632215,0.492775,0.456666,0.446352,clear,?
828,0.294016,0.571567,0.390736,0.524239,white,?
830,0.378877,0.313836,0.627082,0.404196,black,?
832,0.081339,0.473252,0.499201,0.233376,blue,?
833,0.245998,0.656243,0.481545,0.069479,blood,?
834,0.180655,0.71294,0.386179,0.255496,white,?
835,0.470726,0.671622,0.724204,0.519106,white,?
838,0.470854,0.545744,0.173617,0.368589,clear,?
842,0.345553,0.499141,0.602804,0.714965,green,?
844,0.667039,0.516849,0.841946,0.629121,white,?
848,0.246947,0.680874,0.310768,0.389123,green,?
850,0.697077,0.400983,0.778119,0.633546,clear,?
852,0.528697,0.697704,0.151532,0.255891,black,?
853,0.568903,0.43785,0.547504,0.523587,blue,?
854,0.52567,0.460865,0.659715,0.545023,white,?
856,0.322845,0.598899,0.503776,0.679168,green,?
857,0.442508,0.528805,0.393364,0.225592,clear,?
859,0.490843,0.380318,0.563986,0.295712,clear,?
860,0.229325,0.584114,0.364442,0.409855,white,?
862,0.479804,0.743767,0.283142,0.490549,black,?
863,0.398483,0.44955,0.666411,0.544743,blue,?
865,0.541353,0.684592,0.702546,0.57989,black,?
866,0.452508,0.065838,0.159416,0.333775,clear,?
868,0.584223,0.432619,0.675581,0.542931,white,?
869,0.362338,0.580738,0.498442,0.352691,clear,?
870,0.366228,0.682502,0.857817,0.461294,clear,?
871,0.498314,0.374059,0.406618,0.413251,clear,?
872,0.472987,0.543087,0.644824,0.416043,clear,?
875,0.497022,0.431211,0.619455,0.660824,white,?
876,0.437096,0.545249,0.270154,0.314711,white,?
879,0.307644,0.599217,0.578294,0.215542,black,?
880,0.561184,0.278331,0.699267,0.554676,clear,?
881,0.555242,0.332323,0.634296,0.709737,black,?
882,0.351923,0.293618,0.540671,0.796418,clear,?
883,0.401179,0.346881,0.573723,0.417728,white,?
884,0.497556,0.336481,0.476596,0.505696,clear,?
885,0.34476,0.760489,0.315305,0.299874,white,?
