=== Run information ===

Scheme:       weka.classifiers.misc.InputMappedClassifier -I -trim -W weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0
Relation:     train
Instances:    371
Attributes:   7
              id
              bone_length
              rotting_flesh
              hair_length
              has_soul
              color
              type
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

InputMappedClassifier:

Ghoul (130.000) NB1 NB adaptive1
Attribute mappings:

Model attributes         	    Incoming attributes
-------------------------	    ----------------
(numeric) id             	--> 1 (numeric) id
(numeric) bone_length    	--> 2 (numeric) bone_length
(numeric) rotting_flesh  	--> 3 (numeric) rotting_flesh
(numeric) hair_length    	--> 4 (numeric) hair_length
(numeric) has_soul       	--> 5 (numeric) has_soul
(nominal) color          	--> 6 (nominal) color
(nominal) type           	--> 7 (nominal) type


Time taken to build model: 0 seconds

=== Predictions on test set ===

    inst#     actual  predicted error prediction
      137        1:?    1:Ghoul       0.985 
      138        1:?   2:Goblin       0.572 
      139        1:?   2:Goblin       0.836 
      140        1:?    3:Ghost       0.669 
      141        1:?    1:Ghoul       0.988 
      142        1:?    3:Ghost       0.619 
      143        1:?    3:Ghost       0.598 
      144        1:?    1:Ghoul       0.795 
      145        1:?    1:Ghoul       0.692 
      146        1:?    3:Ghost       0.951 
      147        1:?    1:Ghoul       0.529 
      148        1:?    3:Ghost       0.689 
      149        1:?    3:Ghost       0.999 
      150        1:?    3:Ghost       0.657 
      151        1:?    1:Ghoul       0.525 
      152        1:?    1:Ghoul       0.911 
      153        1:?   2:Goblin       0.562 
      154        1:?   2:Goblin       0.678 
      155        1:?   2:Goblin       0.951 
      156        1:?    3:Ghost       0.971 
      157        1:?    1:Ghoul       0.951 
      158        1:?    1:Ghoul       0.921 
      159        1:?    3:Ghost       0.849 
      160        1:?    1:Ghoul       0.986 
      161        1:?    1:Ghoul       0.977 
      162        1:?    1:Ghoul       0.725 
      163        1:?   2:Goblin       0.612 
      164        1:?   2:Goblin       0.797 
      165        1:?    3:Ghost       0.995 
      166        1:?    3:Ghost       0.996 
      167        1:?   2:Goblin       0.76 
      168        1:?    3:Ghost       1 
      169        1:?   2:Goblin       0.831 
      170        1:?    3:Ghost       0.9 
      171        1:?    3:Ghost       0.968 
      172        1:?    1:Ghoul       0.825 
      173        1:?    3:Ghost       1 
      174        1:?    1:Ghoul       0.579 
      175        1:?    1:Ghoul       0.789 
      176        1:?    1:Ghoul       0.984 
      177        1:?    3:Ghost       0.775 
      178        1:?    1:Ghoul       0.988 
      179        1:?   2:Goblin       0.558 
      180        1:?    1:Ghoul       0.698 
      181        1:?    3:Ghost       0.977 
      182        1:?    3:Ghost       0.851 
      183        1:?    1:Ghoul       0.819 
      184        1:?    3:Ghost       0.979 
      185        1:?    3:Ghost       0.994 
      186        1:?   2:Goblin       0.771 
      187        1:?   2:Goblin       0.677 
      188        1:?    1:Ghoul       0.667 
      189        1:?    1:Ghoul       0.671 
      190        1:?    3:Ghost       0.996 
      191        1:?    3:Ghost       0.991 
      192        1:?    1:Ghoul       0.876 
      193        1:?   2:Goblin       0.809 
      194        1:?    3:Ghost       0.954 
      195        1:?    1:Ghoul       0.965 
      196        1:?   2:Goblin       0.577 
      197        1:?   2:Goblin       0.821 
      198        1:?   2:Goblin       0.66 
      199        1:?    1:Ghoul       0.867 
      200        1:?    1:Ghoul       0.8 
      201        1:?    3:Ghost       0.989 
      202        1:?    3:Ghost       0.998 
      203        1:?    3:Ghost       0.999 
      204        1:?    3:Ghost       0.929 
      205        1:?    1:Ghoul       0.56 
      206        1:?    3:Ghost       0.966 
      207        1:?   2:Goblin       0.808 
      208        1:?    3:Ghost       0.613 
      209        1:?   2:Goblin       0.778 
      210        1:?    1:Ghoul       0.741 
      211        1:?    3:Ghost       0.524 
      212        1:?    3:Ghost       0.494 
      213        1:?    3:Ghost       0.888 
      214        1:?    3:Ghost       0.998 
      215        1:?   2:Goblin       0.778 
      216        1:?   2:Goblin       0.632 
      217        1:?    1:Ghoul       0.639 
      218        1:?    3:Ghost       1 
      219        1:?    1:Ghoul       0.987 
      220        1:?   2:Goblin       0.946 
      221        1:?   2:Goblin       0.762 
      222        1:?   2:Goblin       0.879 
      223        1:?   2:Goblin       0.572 
      224        1:?    1:Ghoul       0.883 
      225        1:?    1:Ghoul       0.713 
      226        1:?   2:Goblin       0.862 
      227        1:?    3:Ghost       0.992 
      228        1:?    3:Ghost       0.998 
      229        1:?   2:Goblin       0.89 
      230        1:?    3:Ghost       0.879 
      231        1:?   2:Goblin       0.664 
      232        1:?   2:Goblin       0.551 
      233        1:?    3:Ghost       0.927 
      234        1:?    3:Ghost       0.997 
      235        1:?    3:Ghost       0.985 
      236        1:?    1:Ghoul       0.684 
      237        1:?    3:Ghost       0.78 
      238        1:?    1:Ghoul       0.983 
      239        1:?   2:Goblin       0.529 
      240        1:?   2:Goblin       0.581 
      241        1:?    3:Ghost       0.968 
      242        1:?    3:Ghost       0.966 
      243        1:?    3:Ghost       1 
      244        1:?    3:Ghost       0.991 
      245        1:?   2:Goblin       0.694 
      246        1:?   2:Goblin       0.485 
      247        1:?   2:Goblin       0.87 
      248        1:?    3:Ghost       1 
      249        1:?    3:Ghost       0.938 
      250        1:?   2:Goblin       0.733 
      251        1:?    3:Ghost       0.984 
      252        1:?    3:Ghost       0.832 
      253        1:?    3:Ghost       0.724 
      254        1:?    3:Ghost       0.546 
      255        1:?   2:Goblin       0.471 
      256        1:?    1:Ghoul       0.599 
      257        1:?    3:Ghost       0.995 
      258        1:?    1:Ghoul       0.97 
      259        1:?   2:Goblin       0.544 
      260        1:?    3:Ghost       0.946 
      261        1:?    3:Ghost       0.708 
      262        1:?   2:Goblin       0.84 
      263        1:?    3:Ghost       0.937 
      264        1:?   2:Goblin       0.569 
      265        1:?   2:Goblin       0.59 
      266        1:?    1:Ghoul       0.997 
      267        1:?    1:Ghoul       0.647 
      268        1:?    1:Ghoul       0.599 
      269        1:?    3:Ghost       0.559 
      270        1:?    3:Ghost       0.64 
      271        1:?    1:Ghoul       0.631 
      272        1:?   2:Goblin       0.707 
      273        1:?   2:Goblin       0.498 
      274        1:?   2:Goblin       0.515 
      275        1:?    1:Ghoul       0.992 
      276        1:?    1:Ghoul       0.699 
      277        1:?   2:Goblin       0.694 
      278        1:?    1:Ghoul       0.699 
      279        1:?   2:Goblin       0.974 
      280        1:?    3:Ghost       0.559 
      281        1:?    3:Ghost       0.967 
      282        1:?   2:Goblin       0.813 
      283        1:?    1:Ghoul       0.998 
      284        1:?    1:Ghoul       0.866 
      285        1:?    1:Ghoul       0.848 
      286        1:?   2:Goblin       0.853 
      287        1:?    3:Ghost       0.695 
      288        1:?    1:Ghoul       0.846 
      289        1:?    3:Ghost       0.542 
      290        1:?    3:Ghost       0.947 
      291        1:?    1:Ghoul       0.544 
      292        1:?    3:Ghost       0.959 
      293        1:?   2:Goblin       0.548 
      294        1:?    1:Ghoul       0.519 
      295        1:?   2:Goblin       0.73 
      296        1:?    1:Ghoul       0.593 
      297        1:?    3:Ghost       0.982 
      298        1:?   2:Goblin       0.725 
      299        1:?    3:Ghost       0.936 
      300        1:?    1:Ghoul       0.582 
      301        1:?   2:Goblin       0.585 
      302        1:?    1:Ghoul       0.519 
      303        1:?    3:Ghost       0.959 
      304        1:?    3:Ghost       0.779 
      305        1:?    1:Ghoul       0.969 
      306        1:?   2:Goblin       0.574 
      307        1:?   2:Goblin       0.592 
      308        1:?   2:Goblin       0.646 
      309        1:?    3:Ghost       0.882 
      310        1:?   2:Goblin       0.605 
      311        1:?    1:Ghoul       0.887 
      312        1:?    1:Ghoul       0.608 
      313        1:?   2:Goblin       0.917 
      314        1:?    3:Ghost       0.987 
      315        1:?    3:Ghost       0.997 
      316        1:?    1:Ghoul       0.493 
      317        1:?    3:Ghost       0.507 
      318        1:?    3:Ghost       0.969 
      319        1:?    3:Ghost       0.974 
      320        1:?    1:Ghoul       0.689 
      321        1:?    3:Ghost       0.97 
      322        1:?    3:Ghost       0.657 
      323        1:?    1:Ghoul       0.877 
      324        1:?   2:Goblin       0.628 
      325        1:?    3:Ghost       0.983 
      326        1:?   2:Goblin       0.693 
      327        1:?    3:Ghost       0.993 
      328        1:?   2:Goblin       0.795 
      329        1:?    3:Ghost       0.994 
      330        1:?    1:Ghoul       0.993 
      331        1:?    1:Ghoul       0.893 
      332        1:?   2:Goblin       0.514 
      333        1:?   2:Goblin       0.699 
      334        1:?    3:Ghost       0.982 
      335        1:?    3:Ghost       0.983 
      336        1:?    1:Ghoul       0.584 
      337        1:?    3:Ghost       0.937 
      338        1:?    1:Ghoul       0.91 
      339        1:?    1:Ghoul       0.572 
      340        1:?    1:Ghoul       0.92 
      341        1:?    1:Ghoul       0.583 
      342        1:?   2:Goblin       0.69 
      343        1:?   2:Goblin       0.49 
      344        1:?   2:Goblin       0.946 
      345        1:?    3:Ghost       0.853 
      346        1:?   2:Goblin       0.76 
      347        1:?    3:Ghost       0.984 
      348        1:?    1:Ghoul       0.507 
      349        1:?    3:Ghost       0.954 
      350        1:?   2:Goblin       0.501 
      351        1:?    1:Ghoul       0.798 
      352        1:?    3:Ghost       0.995 
      353        1:?    1:Ghoul       0.959 
      354        1:?    3:Ghost       0.97 
      355        1:?   2:Goblin       0.67 
      356        1:?   2:Goblin       0.522 
      357        1:?   2:Goblin       0.507 
      358        1:?    3:Ghost       0.997 
      359        1:?    3:Ghost       0.985 
      360        1:?    1:Ghoul       0.939 
      361        1:?   2:Goblin       0.832 
      362        1:?    3:Ghost       0.989 
      363        1:?   2:Goblin       0.568 
      364        1:?    3:Ghost       0.999 
      365        1:?    3:Ghost       0.811 
      366        1:?    1:Ghoul       0.828 
      367        1:?    1:Ghoul       0.822 
      368        1:?    1:Ghoul       0.559 
      369        1:?   2:Goblin       0.875 
      370        1:?    1:Ghoul       0.945 
      371        1:?    3:Ghost       0.689 
      372        1:?    3:Ghost       0.888 
      373        1:?    1:Ghoul       0.951 
      374        1:?    3:Ghost       0.998 
      375        1:?   2:Goblin       0.708 
      376        1:?    3:Ghost       0.944 
      377        1:?    1:Ghoul       0.707 
      378        1:?   2:Goblin       0.652 
      379        1:?   2:Goblin       0.839 
      380        1:?    1:Ghoul       0.853 
      381        1:?    1:Ghoul       0.573 
      382        1:?    3:Ghost       0.947 
      383        1:?    3:Ghost       0.895 
      384        1:?   2:Goblin       0.664 
      385        1:?   2:Goblin       0.769 
      386        1:?    3:Ghost       0.983 
      387        1:?    3:Ghost       0.963 
      388        1:?    3:Ghost       0.992 
      389        1:?    3:Ghost       0.639 
      390        1:?   2:Goblin       0.482 
      391        1:?   2:Goblin       0.646 
      392        1:?    1:Ghoul       0.715 
      393        1:?    3:Ghost       0.999 
      394        1:?   2:Goblin       0.525 
      395        1:?   2:Goblin       0.443 
      396        1:?    1:Ghoul       0.636 
      397        1:?    1:Ghoul       0.987 
      398        1:?   2:Goblin       0.743 
      399        1:?   2:Goblin       0.582 
      400        1:?    1:Ghoul       0.824 
      401        1:?   2:Goblin       0.542 
      402        1:?    1:Ghoul       0.994 
      403        1:?   2:Goblin       0.544 
      404        1:?    1:Ghoul       0.99 
      405        1:?    3:Ghost       0.982 
      406        1:?    1:Ghoul       0.949 
      407        1:?    1:Ghoul       0.973 
      408        1:?    3:Ghost       0.913 
      409        1:?   2:Goblin       0.601 
      410        1:?    3:Ghost       0.963 
      411        1:?    3:Ghost       0.642 
      412        1:?   2:Goblin       0.483 
      413        1:?    1:Ghoul       0.908 
      414        1:?    3:Ghost       0.964 
      415        1:?    1:Ghoul       0.829 
      416        1:?    3:Ghost       0.992 
      417        1:?   2:Goblin       0.805 
      418        1:?    1:Ghoul       0.828 
      419        1:?   2:Goblin       0.534 
      420        1:?    3:Ghost       0.888 
      421        1:?    3:Ghost       0.912 
      422        1:?    1:Ghoul       0.695 
      423        1:?    1:Ghoul       0.819 
      424        1:?   2:Goblin       0.644 
      425        1:?    3:Ghost       0.996 
      426        1:?    3:Ghost       0.987 
      427        1:?   2:Goblin       0.509 
      428        1:?   2:Goblin       0.498 
      429        1:?    1:Ghoul       0.887 
      430        1:?    3:Ghost       0.995 
      431        1:?   2:Goblin       0.705 
      432        1:?    1:Ghoul       0.485 
      433        1:?   2:Goblin       0.62 
      434        1:?    1:Ghoul       0.55 
      435        1:?   2:Goblin       0.876 
      436        1:?    1:Ghoul       0.623 
      437        1:?   2:Goblin       0.7 
      438        1:?    3:Ghost       1 
      439        1:?   2:Goblin       0.57 
      440        1:?    3:Ghost       0.979 
      441        1:?    1:Ghoul       0.889 
      442        1:?    1:Ghoul       0.691 
      443        1:?    3:Ghost       0.999 
      444        1:?    3:Ghost       0.876 
      445        1:?    3:Ghost       0.974 
      446        1:?    1:Ghoul       0.512 
      447        1:?    3:Ghost       0.698 
      448        1:?   2:Goblin       0.647 
      449        1:?   2:Goblin       0.689 
      450        1:?    1:Ghoul       0.771 
      451        1:?    1:Ghoul       0.999 
      452        1:?    1:Ghoul       0.887 
      453        1:?    1:Ghoul       0.579 
      454        1:?   2:Goblin       0.523 
      455        1:?   2:Goblin       0.85 
      456        1:?    3:Ghost       0.569 
      457        1:?   2:Goblin       0.877 
      458        1:?    3:Ghost       0.632 
      459        1:?    1:Ghoul       0.834 
      460        1:?   2:Goblin       0.615 
      461        1:?    3:Ghost       0.877 
      462        1:?    3:Ghost       0.99 
      463        1:?    1:Ghoul       0.845 
      464        1:?    1:Ghoul       0.932 
      465        1:?   2:Goblin       0.629 
      466        1:?    1:Ghoul       0.721 
      467        1:?    3:Ghost       0.974 
      468        1:?    1:Ghoul       0.847 
      469        1:?    1:Ghoul       0.595 
      470        1:?    3:Ghost       0.921 
      471        1:?    1:Ghoul       0.972 
      472        1:?    1:Ghoul       0.898 
      473        1:?   2:Goblin       0.628 
      474        1:?    1:Ghoul       0.84 
      475        1:?    3:Ghost       0.795 
      476        1:?    3:Ghost       0.95 
      477        1:?   2:Goblin       0.649 
      478        1:?    3:Ghost       0.995 
      479        1:?    3:Ghost       0.999 
      480        1:?   2:Goblin       0.816 
      481        1:?    1:Ghoul       0.709 
      482        1:?    1:Ghoul       0.535 
      483        1:?    3:Ghost       0.975 
      484        1:?    1:Ghoul       0.515 
      485        1:?    3:Ghost       0.665 
      486        1:?   2:Goblin       0.85 
      487        1:?    3:Ghost       0.977 
      488        1:?    3:Ghost       0.998 
      489        1:?    3:Ghost       0.996 
      490        1:?    1:Ghoul       0.766 
      491        1:?    3:Ghost       0.953 
      492        1:?    1:Ghoul       0.681 
      493        1:?    1:Ghoul       0.995 
      494        1:?    3:Ghost       0.986 
      495        1:?    1:Ghoul       0.988 
      496        1:?    3:Ghost       0.997 
      497        1:?    1:Ghoul       0.564 
      498        1:?    1:Ghoul       0.776 
      499        1:?   2:Goblin       0.466 
      500        1:?    3:Ghost       0.844 
      501        1:?   2:Goblin       0.82 
      502        1:?    3:Ghost       0.941 
      503        1:?    3:Ghost       0.909 
      504        1:?    1:Ghoul       0.509 
      505        1:?    1:Ghoul       0.875 
      506        1:?    3:Ghost       0.547 
      507        1:?    1:Ghoul       0.85 
      508        1:?    3:Ghost       0.487 
      509        1:?    1:Ghoul       0.822 
      510        1:?   2:Goblin       0.768 
      511        1:?   2:Goblin       0.567 
      512        1:?    1:Ghoul       0.808 
      513        1:?    3:Ghost       0.946 
      514        1:?    3:Ghost       0.784 
      515        1:?    1:Ghoul       0.668 
      516        1:?    1:Ghoul       0.866 
      517        1:?    1:Ghoul       0.546 
      518        1:?   2:Goblin       0.813 
      519        1:?   2:Goblin       0.756 
      520        1:?    3:Ghost       0.991 
      521        1:?    1:Ghoul       0.973 
      522        1:?    1:Ghoul       0.778 
      523        1:?    1:Ghoul       0.889 
      524        1:?    1:Ghoul       0.98 
      525        1:?   2:Goblin       0.756 
      526        1:?    3:Ghost       0.983 
      527        1:?    1:Ghoul       0.949 
      528        1:?    3:Ghost       0.996 
      529        1:?    3:Ghost       0.957 

=== Evaluation on test set ===

Time taken to test model on supplied test set: 0.21 seconds

=== Summary ===

Total Number of Instances                0     
Ignored Class Unknown Instances                529     

=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 ?        ?        ?          ?        ?          ?        ?         ?         Ghoul
                 ?        ?        ?          ?        ?          ?        ?         ?         Goblin
                 ?        ?        ?          ?        ?          ?        ?         ?         Ghost
Weighted Avg.    ?        ?        ?          ?        ?          ?        ?         ?         

=== Confusion Matrix ===

 a b c   <-- classified as
 0 0 0 | a = Ghoul
 0 0 0 | b = Goblin
 0 0 0 | c = Ghost

